Timestamp                       Thread     Type        Activity             PID    TTL
## APDU лог
2026-04-01 11:48:03.220959+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 15 a0 0d 8c 05 e3 00 00 02 ff a1 04 e2 ff ff ff 83 01 9b 8a 01 05 9a 01 10 9b 01 10 99 02 ff ff 9c 02 ff ff 80 01 08 90 00
2026-04-01 11:48:03.222162+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
2026-04-01 11:48:03.246888+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-01 11:48:03.247663+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 cb 3f ff 05 5c 03 ff f3 02 00
2026-04-01 11:48:03.279918+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 80
2026-04-01 11:48:03.282585+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:48:03.303965+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:48:03.304773+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 81 00
2026-04-01 11:48:03.318525+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 0f a0 0a 8c 03 d0 00 ff a1 03 e0 ff ff 83 01 81 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 ff 9e 01 a5 91 14 00 08 08 00 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:48:03.319232+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 84 0b 00
2026-04-01 11:48:03.332467+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 15 a0 0d 8c 05 e3 00 00 02 ff a1 04 e2 ff ff ff 83 01 9b 8a 01 05 9a 01 10 9b 01 10 99 02 ff ff 9c 02 ff ff 80 01 08 90 00
2026-04-01 11:48:03.333131+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:48:03.346809+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:48:03.347554+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 81 00
2026-04-01 11:48:03.361321+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 0f a0 0a 8c 03 d0 00 ff a1 03 e0 ff ff 83 01 81 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 ff 9e 01 a5 91 14 00 08 08 00 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:48:03.362456+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 84 0b 00
2026-04-01 11:48:03.375611+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 15 a0 0d 8c 05 e3 00 00 02 ff a1 04 e2 ff ff ff 83 01 9b 8a 01 05 9a 01 10 9b 01 10 99 02 ff ff 9c 02 ff ff 80 01 08 90 00
2026-04-01 11:48:03.376564+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb 3f ff 05 4d 03 ff 81 80 00
2026-04-01 11:48:03.390333+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- e2 10 a0 0b 8c 04 f0 00 00 00 a1 03 e0 07 07 83 01 80 9a 01 05 9b 01 05 99 01 ff 9c 01 ff 9d 01 81 9e 01 a5 91 14 00 06 08 01 aa 00 08 08 55 00 00 08 08 00 00 00 aa 00 00 00 90 00
2026-04-01 11:48:03.392718+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 81 cb df 39 04
2026-04-01 11:48:03.403037+0200 0xc9aedb   Default     0x0                  20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 00 01 ae dc 90 00
2026-04-01 11:48:03.636311+0200 0xc9aedb   Default     0xf2f543             20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU -> 00 a4 04 0c 0b a0 00 00 00 18 80 00 00 00 06 62
2026-04-01 11:48:03.640064+0200 0xc9aedb   Default     0xf2f543             20037  0    usbsmartcardreaderd: (CryptoTokenKit) [com.apple.CryptoTokenKit:APDULog] APDU <- 6a 86
